T_score_TREE_DEPTH_1,H_score_TREE_DEPTH_1,T_score_TREE_DEPTH_2,H_score_TREE_DEPTH_2,T_score_TREE_DEPTH_3,H_score_TREE_DEPTH_3,,,Train_error_TREE_DEPTH_1,Test_error_TREE_DEPTH_1,Train_error_TREE_DEPTH_2,Test_error_TREE_DEPTH_2,Train_error_TREE_DEPTH_3,Test_error_TREE_DEPTH_3
0.862597746,0.849321949,0.897227582,0.889000502,0.917944552,0.91109995,,,0.137402254,0.150678051,0.102772418,0.110999498,0.082055448,0.08890005
0.862597746,0.849321949,0.897227582,0.889000502,0.917944552,0.91109995,,,0.137402254,0.150678051,0.102772418,0.110999498,0.082055448,0.08890005
0.862597746,0.849321949,0.897227582,0.889000502,0.935513354,0.928176796,,,0.137402254,0.150678051,0.102772418,0.110999498,0.064486646,0.071823204
0.868894079,0.85334003,0.920178735,0.916624812,0.938661521,0.927172275,,,0.131105921,0.14665997,0.079821265,0.083375188,0.061338479,0.072827725
0.865644359,0.85384229,0.926982837,0.925163235,0.938052199,0.929683576,,,0.134355641,0.14615771,0.073017163,0.074836765,0.061947801,0.070316424
0.888798619,0.88297338,0.927185945,0.925665495,0.952879049,0.942742341,,,0.111201381,0.11702662,0.072814055,0.074334505,0.047120951,0.057257659
0.8829085,0.873932697,0.943231441,0.937217479,0.9569412,0.9407333,,,0.1170915,0.126067303,0.056768559,0.062782521,0.0430588,0.0592667
0.887783081,0.874434957,0.937239768,0.936212958,0.960597136,0.945755902,,,0.112216919,0.125565043,0.062760232,0.063787042,0.039402864,0.054244098
0.888595511,0.873430437,0.948106022,0.946760422,0.962120443,0.946760422,,,0.111404489,0.126569563,0.051893978,0.053239578,0.037879557,0.053239578
0.8936732,0.88347564,0.946582716,0.944751381,0.966588809,0.951280763,,,0.1063268,0.11652436,0.053417284,0.055248619,0.033411191,0.048719237
0.905351884,0.896534405,0.949730883,0.947764942,0.965674825,0.954796585,,,0.094648116,0.103465595,0.050269117,0.052235058,0.034325175,0.045203415
0.905961206,0.900552486,0.94912156,0.947262682,0.967198131,0.954294324,,,0.094038794,0.099447514,0.05087844,0.052737318,0.032801869,0.045705676
0.917538337,0.906579608,0.950035544,0.949271723,0.970244745,0.961325967,,,0.082461663,0.093420392,0.049964456,0.050728277,0.029755255,0.038674033
0.9152026,0.906579608,0.952371281,0.947764942,0.973291358,0.964841788,,,0.0847974,0.093420392,0.047628719,0.052235058,0.026708642,0.035158212
0.913171524,0.902561527,0.952675942,0.949271723,0.976439525,0.967353089,,,0.086828476,0.097438473,0.047324058,0.050728277,0.023560475,0.032646911
0.920788057,0.913611251,0.955621001,0.952787544,0.978775262,0.964841788,,,0.079211943,0.086388749,0.044378999,0.047212456,0.021224738,0.035158212
0.925662638,0.918131592,0.957347415,0.957307885,0.980501676,0.97036665,,,0.074337362,0.081868408,0.042652585,0.042692115,0.019498324,0.02963335
0.921498934,0.913611251,0.95988626,0.959316926,0.98222809,0.96986439,,,0.078501066,0.086388749,0.04011374,0.040683074,0.01777191,0.03013561
0.92515487,0.918633852,0.962526658,0.958814666,0.983345181,0.96986439,,,0.07484513,0.081366148,0.037473342,0.041185334,0.016654819,0.03013561
0.926271961,0.926670015,0.962221997,0.958814666,0.985680918,0.97137117,,,0.073728039,0.073329985,0.037778003,0.041185334,0.014319082,0.02862883
0.928506144,0.922149674,0.962831319,0.959316926,0.98679801,0.972877951,,,0.071493856,0.077850326,0.037168681,0.040683074,0.01320199,0.027122049
0.928709252,0.922149674,0.963339088,0.960321447,0.987508886,0.974886991,,,0.071290748,0.077850326,0.036660912,0.039678553,0.012491114,0.025113009
0.92677973,0.924158714,0.965065502,0.964339528,0.988321316,0.973380211,,,0.07322027,0.075841286,0.034934498,0.035660472,0.011678684,0.026619789
0.932568295,0.926670015,0.966385701,0.963837268,0.988727531,0.974384731,,,0.067431705,0.073329985,0.033614299,0.036162732,0.011272469,0.025615269
0.928303036,0.923656454,0.968213669,0.967353089,0.988727531,0.973882471,,,0.071696964,0.076343546,0.031786331,0.032646911,0.011272469,0.026117529
0.927287499,0.920642893,0.968721438,0.967353089,0.988930639,0.975389252,,,0.072712501,0.079357107,0.031278562,0.032646911,0.011069361,0.024610748
0.931654311,0.929181316,0.967807454,0.966348569,0.989641515,0.977398292,,,0.068345689,0.070818684,0.032192546,0.033651431,0.010358485,0.022601708
0.929826343,0.926670015,0.970143191,0.966850829,0.991164822,0.977900552,,,0.070173657,0.073329985,0.029856809,0.033149171,0.008835178,0.022099448
0.932060526,0.929181316,0.968822992,0.963837268,0.989844623,0.977900552,,,0.067939474,0.070818684,0.031177008,0.036162732,0.010155377,0.022099448
0.935716462,0.93972878,0.969940083,0.965344048,0.992485021,0.979407333,,,0.064283538,0.06027122,0.030059917,0.034655952,0.007514979,0.020592667
0.93378694,0.937217479,0.969635422,0.963837268,0.993602112,0.980411853,,,0.06621306,0.062782521,0.030364578,0.036162732,0.006397888,0.019588147
0.936630446,0.936715218,0.972174266,0.963837268,0.993399005,0.981416374,,,0.063369554,0.063284782,0.027825734,0.036162732,0.006600995,0.018583626
0.934802478,0.937217479,0.971666497,0.965846308,0.994414543,0.979909593,,,0.065197522,0.062782521,0.028333503,0.034153692,0.005585457,0.020090407
